scheme,class_id,count
13class,0,59523
13class,1,1134
13class,2,438
13class,3,129
13class,4,54
13class,5,29
13class,6,18
13class,7,13
13class,8,13
13class,9,7
13class,10,8
13class,11,6
13class,12,6
5class,0,59523
5class,1,1134
5class,2,650
5class,3,61
5class,4,10
9class,0,59523
9class,1,1134
9class,2,438
9class,3,129
9class,4,83
9class,5,31
9class,6,20
9class,7,14
9class,8,6
