class_name,time_group,surface_group,season_group,count
Dry,Night,Land,Winter,10
Intense,Night,Land,Winter,10
Light,Night,Land,Winter,10
Moderate,Night,Land,Winter,9
Heavy,Night,Land,Winter,8
Heavy,Night,Sea,Winter,2
Moderate,Night,Sea,Winter,1
