class_name,time_group,surface_group,season_group,count
Dry,Night,Land,Winter,50769
Dry,Night,Sea,Winter,8754
Light,Night,Land,Winter,988
Moderate,Night,Land,Winter,585
Light,Night,Sea,Winter,146
Moderate,Night,Sea,Winter,65
Heavy,Night,Land,Winter,52
Intense,Night,Land,Winter,10
Heavy,Night,Sea,Winter,9
